"Name","HomeType","EnabledByCalendar","DefaultBackground","FreeBackground","RequiredTHLevel","PurchasePrice","TID","SWF","Foreground","Background","AdditiveLayer","TopLayer","BaseSWF","BuildingBasesSWF","Icon","Thumbnail","MakeCreator","CustomShip","CustomBalloonBus","CustomForge","ParallaxLayer","ParallaxStrength","NightMode","Music","ClanBadgeClip"
"String","String","boolean","boolean","boolean","int","int","String","String","String","String","String","String","String","String","String","String","String","boolean","boolean","boolean","String","int","boolean","String","String"
"HomeDefault","HOME",,"true","true",,,"TID_SCENERY_CLASSIC","sc/background_player.sc","Player_Background",,,,"sc/background_gamearea.sc",,"image/background_icons/scenery_homevillage.png","image/background_icons/village_bgr_image.png",,,,,,,,,
"BBDefault","BB",,"true","true",,,"TID_SCENERY_CLASSIC","sc/background_player_2.sc","Second_player_village",,,,,,"image/background_icons/scenery_builderbase_original.png","image/background_icons/village2_bgr_image.png",,,,,,,"true",,
"WarDefault","WAR",,"true","true",,,"TID_SCENERY_CLASSIC","sc/background_war.sc","Player_war_bg",,,,,,"image/background_icons/scenery_warbase_original.png","image/background_icons/war_bgr_image.png",,,,,,,,,
"NPCDefault","NPC",,"true","true",,,"TID_SCENERY_CLASSIC","sc/background_npc.sc","NPC_village_bg",,,,,,"image/background_icons/scenery_homevillage.png","image/background_icons/village_bgr_image.png",,,,,,,,,
"ClashyConstructs","HOME",,,,,,"TID_SCENERY_CLASHY_CONSTRUCTS","sc/scenery_clashy_constructs_dl_opt.sc","Player_Background",,,,,,"image/background_icons/scenery_clashy_constructs_dl_opt.png","image/background_icons/clashy_constructs_bgr_image_dl_opt.png",,,,,,,,,
"Pirate","HOME",,,,,,"TID_SCENERY_PIRATE","sc/scenery_pirate_dl_opt.sc","Player_Background",,,,,,"image/background_icons/scenery_pirate_dl_opt.png","image/background_icons/pirate_bgr_image_dl_opt.png",,,,,,,,,
"EpicWinter","HOME",,,,,,"TID_SCENERY_EPIC_WINTER","sc/scenery_epic_winter_dl_opt.sc","Player_Background",,,,,,"image/background_icons/scenery_epic_winter_dl_opt.png","image/background_icons/village_bgr_image_epic_winter_dl_opt.png",,,,,,,,,
"Cny2021","HOME",,,,,,"TID_SCENERY_HOG_MOUNTAIN","sc/scenery_cny2021_dl_opt.sc","Player_Background",,,,,,"image/background_icons/scenery_lunar_ny_dl_opt.png","image/background_icons/cny2021_bgr_image_dl_opt.png",,,,,,,,,
"Jungle","HOME",,,"true",14,,"TID_SCENERY_JUNGLE","sc/scenery_th14_dl_opt.sc","Player_Background",,,,,,"image/background_icons/scenery_basic_jungle.png","image/background_icons/jungle_bgr_image_dl_opt.png",,,,,,,,,
"EpicJungle","HOME",,,,,,"TID_SCENERY_EPIC_JUNGLE","sc/scenery_epic_jungle_dl_opt.sc","Player_Background",,,,,,"image/background_icons/scenery_epic_jungle_dl_opt.png","image/background_icons/epic_jungle_bgr_image_dl_opt.png",,,,,,,,,
"WarMake","WAR",,,,,,"TID_INFERNO_TOWN_SCENERY","sc/scenery_war_dl_opt.sc","Player_war_bg",,,,,,"image/background_icons/scenery_warbase_make_dl_opt.png","image/background_icons/make_war_bgr_image_dl_opt.png","ThiagoMessias",,,,,,,,
"Festival","HOME",,,,,,"TID_9TH_CLASHIVERSARY_SCENERY","sc/scenery_9yanniversary_dl_opt.sc","Player_Background",,,,,,"image/background_icons/scenery_9th_anniversary_dl_opt.png","image/background_icons/party_bgr_image_dl_opt.png",,,,,,,,,
"SpookyVillage","HOME",,,,,,"TID_PUMPKIN_GRAVEYARD_SCENERY","sc/scenery_spooky_village_dl_opt.sc","Player_Background",,,,"sc/scenery_gamearea_spooky_dl_opt.sc","sc/scenery_bases_spooky_dl_opt.sc","image/background_icons/spooky_scenery_dl_opt.png","image/background_icons/spooky_bgr_image_dl_opt.png","Naji Kadalayi","true",,,"background",-15,,,
,,,,,,,,,,,,,,,,,,,,,"foreground",15,,,
"SnowDay","HOME",,,,,,"TID_SNOWED_IN_SCENERY","sc/scenery_snowed_in_dl_opt.sc","Player_Background",,,,"sc/scenery_gamearea_snowedin_dl_opt.sc","sc/scenery_bases_snowedin_dl_opt.sc","image/background_icons/scenery_snowed_in_dl_opt.png","image/background_icons/snowed_in_image_dl_opt.png",,"true",,,"foreground",25,,,
,,,,,,,,,,,,,,,,,,,,,"background",-5,,,
"TigerMountain","HOME",,,,,,"TID_TIGER_MOUNTAIN_SCENERY","sc/scenery_cny2022_dl_opt.sc","Player_Background",,,,"sc/scenery_gamearea_cny2022_dl_opt.sc","sc/scenery_bases_cny2022_dl_opt.sc","image/background_icons/scenery_lunar_ny_22_dl_opt.png","image/background_icons/lny2022_bgr_image_dl_opt.png",,"true",,,,,,,
"VillageBackground012",,"true",,,,,,,,,,,,,,,,,,,,,,,
"Primal","HOME",,,,,,"TID_PRIMAL_SCENERY","sc/scenery_primal_dl_opt.sc","Player_Background",,,,"sc/scenery_gamearea_primal_dl_opt.sc","sc/scenery_bases_primal_dl_opt.sc","image/background_icons/scenery_primal_dl_opt.png","image/background_icons/primal_bgr_image_dl_opt.png",,"true",,,"foreground",25,,,
"Shadow","HOME",,,,,,"TID_SHADOW_SCENERY","sc/scenery_shadow_dl_opt.sc","Player_Background",,,,"sc/scenery_gamearea_shadow_dl_opt.sc","sc/scenery_bases_shadow_dl_opt.sc","image/background_icons/scenery_shadow_dl_opt.png","image/background_icons/shadow_bgr_image_dl_opt.png",,"true",,,"foreground",15,,"music/Shadow_Scenery_Ambience_v2_dl_opt.ogg",
"VillageBackground015",,"true",,,,,,,,,,,,,,,,,,,,,,,
"VillageBackground016",,"true",,,,,,,,,,,,,,,,,,,,,,,
"VillageBackground017",,"true",,,,,,,,,,,,,,,,,,,,,,,
"VillageBackground018",,"true",,,,,,,,,,,,,,,,,,,,,,,
"VillageBackground019",,"true",,,,,,,,,,,,,,,,,,,,,,,
"VillageBackground020",,"true",,,,,,,,,,,,,,,,,,,,,,,
"CapitalCore","CAPITAL",,"true","true",,,"TID_SCENERY_CLASSIC","sc/background_clan_capital.sc","Player_Background",,,,"sc/background_cc_gamearea.sc",,"image/background_icons/scenery_homevillage.png","image/background_icons/clan_capital_core_bgr_image.png",,,,,"background_1",-20,,,"clan_pattern"
,,,,,,,,,,,,,,,,,,,,,"background_2",-10,,,"banner"
,,,,,,,,,,,,,,,,,,,,,"background_3",-5,,,
,,,,,,,,,,,,,,,,,,,,,"foreground_1",4,,,
,,,,,,,,,,,,,,,,,,,,,"foreground_2",10,,,
,,,,,,,,,,,,,,,,,,,,,"foreground_3",12,,,
"Capital_layout_2a","CAPITAL",,"true","true",,,"TID_SCENERY_CLASSIC","sc/background_clan_capital_02.sc","Player_Background_layout2a",,,,"sc/background_cc_gamearea.sc",,"image/background_icons/scenery_homevillage.png","image/background_icons/clan_capital_layout2_1_bgr_image.png",,,,,"background_1",-20,,,"clan_pattern"
,,,,,,,,,,,,,,,,,,,,,"background_2",-10,,,"banner"
,,,,,,,,,,,,,,,,,,,,,"background_3",-5,,,
,,,,,,,,,,,,,,,,,,,,,"foreground_1",5,,,
,,,,,,,,,,,,,,,,,,,,,"foreground_2",10,,,
,,,,,,,,,,,,,,,,,,,,,"foreground_3",12,,,
"Capital_layout_2b","CAPITAL",,"true","true",,,"TID_SCENERY_CLASSIC","sc/background_clan_capital_02.sc","Player_Background_layout2b",,,,"sc/background_cc_gamearea.sc",,"image/background_icons/scenery_homevillage.png","image/background_icons/clan_capital_layout2_1_bgr_image.png",,,,,"background_1",-20,,,"clan_pattern"
,,,,,,,,,,,,,,,,,,,,,"background_2",-10,,,"banner"
,,,,,,,,,,,,,,,,,,,,,"background_3",-5,,,
,,,,,,,,,,,,,,,,,,,,,"foreground_1",5,,,
,,,,,,,,,,,,,,,,,,,,,"foreground_2",10,,,
,,,,,,,,,,,,,,,,,,,,,"foreground_3",12,,,
"Capital_layout_2c","CAPITAL",,"true","true",,,"TID_SCENERY_CLASSIC","sc/background_clan_capital_02.sc","Player_Background_layout2c",,,,"sc/background_cc_gamearea.sc",,"image/background_icons/scenery_homevillage.png","image/background_icons/clan_capital_layout2_1_bgr_image.png",,,,,"background_1",-20,,,"clan_pattern"
,,,,,,,,,,,,,,,,,,,,,"background_2",-10,,,"banner"
,,,,,,,,,,,,,,,,,,,,,"background_3",-5,,,
,,,,,,,,,,,,,,,,,,,,,"foreground_1",5,,,
,,,,,,,,,,,,,,,,,,,,,"foreground_2",10,,,
,,,,,,,,,,,,,,,,,,,,,"foreground_3",12,,,
"CapitalCore_Raid","CAPITAL",,"true","true",,,"TID_SCENERY_CLASSIC","sc/background_clan_capital.sc","Enemy_Background",,,,"sc/background_cc_gamearea.sc",,"image/background_icons/scenery_homevillage.png","image/background_icons/clan_capital_core_bgr_image.png",,,,,"background_1",-20,,,"clan_pattern"
,,,,,,,,,,,,,,,,,,,,,"background_2",-10,,,"banner"
,,,,,,,,,,,,,,,,,,,,,"background_3",-5,,,
,,,,,,,,,,,,,,,,,,,,,"foreground_1",4,,,
,,,,,,,,,,,,,,,,,,,,,"foreground_2",10,,,
,,,,,,,,,,,,,,,,,,,,,"foreground_3",12,,,
"Capital_layout_2d","CAPITAL",,"true","true",,,"TID_SCENERY_CLASSIC","sc/background_clan_capital_02.sc","Player_Background_layout2d",,,,"sc/background_cc_gamearea.sc",,"image/background_icons/scenery_homevillage.png","image/background_icons/clan_capital_layout2_1_bgr_image.png",,,,,"background_1",-20,,,"clan_pattern"
,,,,,,,,,,,,,,,,,,,,,"background_2",-10,,,"banner"
,,,,,,,,,,,,,,,,,,,,,"background_3",-5,,,
,,,,,,,,,,,,,,,,,,,,,"foreground_1",5,,,
,,,,,,,,,,,,,,,,,,,,,"foreground_2",10,,,
,,,,,,,,,,,,,,,,,,,,,"foreground_3",12,,,
"Capital_layout_2a_Raid","CAPITAL",,"true","true",,,"TID_SCENERY_CLASSIC","sc/background_clan_capital_02.sc","Enemy_Background_layout2a",,,,"sc/background_cc_gamearea.sc",,"image/background_icons/scenery_homevillage.png","image/background_icons/clan_capital_layout2_1_bgr_image.png",,,,,"background_1",-20,,,"clan_pattern"
,,,,,,,,,,,,,,,,,,,,,"background_2",-10,,,"banner"
,,,,,,,,,,,,,,,,,,,,,"background_3",-5,,,
,,,,,,,,,,,,,,,,,,,,,"foreground_1",5,,,
,,,,,,,,,,,,,,,,,,,,,"foreground_2",10,,,
,,,,,,,,,,,,,,,,,,,,,"foreground_3",12,,,
"Capital_layout_2b_Raid","CAPITAL",,"true","true",,,"TID_SCENERY_CLASSIC","sc/background_clan_capital_02.sc","Enemy_Background_layout2b",,,,"sc/background_cc_gamearea.sc",,"image/background_icons/scenery_homevillage.png","image/background_icons/clan_capital_layout2_1_bgr_image.png",,,,,"background_1",-20,,,"clan_pattern"
,,,,,,,,,,,,,,,,,,,,,"background_2",-10,,,"banner"
,,,,,,,,,,,,,,,,,,,,,"background_3",-5,,,
,,,,,,,,,,,,,,,,,,,,,"foreground_1",5,,,
,,,,,,,,,,,,,,,,,,,,,"foreground_2",10,,,
,,,,,,,,,,,,,,,,,,,,,"foreground_3",12,,,
"Capital_layout_2c_Raid","CAPITAL",,"true","true",,,"TID_SCENERY_CLASSIC","sc/background_clan_capital_02.sc","Enemy_Background_layout2c",,,,"sc/background_cc_gamearea.sc",,"image/background_icons/scenery_homevillage.png","image/background_icons/clan_capital_layout2_1_bgr_image.png",,,,,"background_1",-20,,,"clan_pattern"
,,,,,,,,,,,,,,,,,,,,,"background_2",-10,,,"banner"
,,,,,,,,,,,,,,,,,,,,,"background_3",-5,,,
,,,,,,,,,,,,,,,,,,,,,"foreground_1",5,,,
,,,,,,,,,,,,,,,,,,,,,"foreground_2",10,,,
,,,,,,,,,,,,,,,,,,,,,"foreground_3",12,,,
"Capital_layout_2d_Raid","CAPITAL",,"true","true",,,"TID_SCENERY_CLASSIC","sc/background_clan_capital_02.sc","Enemy_Background_layout2d",,,,"sc/background_cc_gamearea.sc",,"image/background_icons/scenery_homevillage.png","image/background_icons/clan_capital_layout2_1_bgr_image.png",,,,,"background_1",-20,,,"clan_pattern"
,,,,,,,,,,,,,,,,,,,,,"background_2",-10,,,"banner"
,,,,,,,,,,,,,,,,,,,,,"background_3",-5,,,
,,,,,,,,,,,,,,,,,,,,,"foreground_1",5,,,
,,,,,,,,,,,,,,,,,,,,,"foreground_2",10,,,
,,,,,,,,,,,,,,,,,,,,,"foreground_3",12,,,
"VillageBackground021",,"true",,,,,,,,,,,,,,,,,,,,,,,
"VillageBackground022",,"true",,,,,,,,,,,,,,,,,,,,,,,
"VillageBackground023",,"true",,,,,,,,,,,,,,,,,,,,,,,
"VillageBackground024",,"true",,,,,,,,,,,,,,,,,,,,,,,
"VillageBackground025",,"true",,,,,,,,,,,,,,,,,,,,,,,
"VillageBackground026",,"true",,,,,,,,,,,,,,,,,,,,,,,
"VillageBackground027",,"true",,,,,,,,,,,,,,,,,,,,,,,
"VillageBackground028",,"true",,,,,,,,,,,,,,,,,,,,,,,
"VillageBackground029",,"true",,,,,,,,,,,,,,,,,,,,,,,
"VillageBackground030",,"true",,,,,,,,,,,,,,,,,,,,,,,
