"TID","EN","AR","CN","CNT","DE","ES","FA","FI","FR","ID","IT","JP","KR","MS","NL","NO","PT","RU","TH","TR","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_DECO_CLASHBALL_GOAL","Football Camp","معسكر كرة القدم","足球训练营","足球訓練營","Fußballcamp","Campo de entrenamiento","کمپ فوتبال","Jalkapalloleiri","Camp de football","Kamp Sepak Bola","Campo da calcio","サッカー場","축구 캠프","Kem Bola Sepak","Voetbalkamp","Fotballeir","Campo de futebol","Футбольный лагерь","ค่ายฟุตบอล","Futbol Kampı","Trại bóng đá"
"TID_DECO_CLASHBALL_GOLDENBOOT","Golden Boot","الحذاء الذهبي","荣誉金靴","榮譽金靴","Goldener Schuh","Bota de oro","کفش طلا","Kultainen kenkä","Chaussure dorée","Sepatu Emas","Scarpa d'oro","黄金のスパイク","황금 축구화","But Keemasan","Gouden laars","Gullstøvel","Chuteira dourada","Золотая бутса","บูททองคำ","Altın Krampon","Chiếc giày vàng"
"TID_DECO_CLASHBALL_STATUECHARACTER","Haaland Statue","تمثال هالاند","哈兰德雕像","哈蘭德雕像","Haaland-Statue","Estatua de Haaland","مجسمه هالند","Haaland-patsas","Statue de Haaland","Patung Haaland","Statua di Haaland","ハーランドの像","홀란드 조각상","Patung Haaland","Haaland-standbeeld","Haaland-statue","Estátua Haaland","Статуя Холанна","อนุสรณ์ฮาแลนด์","Haaland Heykeli","Tượng Haaland"
"TID_DECO_CLASHBALL_TROPHYBALL","Bestest Ball","أفضل كرة","盖世金球","稀世金球","Allerbester Ball","Balón victorioso","بهترین توپ","Palloista paras","Meilleur ballon","Bola Paling Bola","Pallone dei palloni","黄金のボール","베스트 볼","Bola Terbaik","Meest beste bal","Beste ball","Bola perfeita","Лучший мяч","ลูกบอลดีเด่น","Şampiyonlar Topu","Quả bóng vàng"
"TID_DECO_CLASHBALL_TROPHYBEVERAGE","Victory Milk","حليب الانتصار","胜利牛奶","勝利牛奶","Siegesmilch","Leche de la victoria","شیر پیروزی","Voittajien juoma","Lait de victoire","Minuman Kemenangan","Latte dei campioni","勝利のミルク","승리의 우유","Susu Kemenangan","Overwinningsmelk","Seiersmelk","Leite da vitória","Молоко за победу","น้ำนมแห่งชัยชนะ","Zafer Sütü","Bình sữa của nhà vô địch"
"TID_DECO_CLASHBALL_TROPHYCROWN","Triumphant Trophy","كأس النصر","冠军奖杯","冠軍獎盃","Triumphtrophäe","Trofeo triunfante","جام پیروز","Kruunupokaali","Trophée triomphant","Trofi Kemenangan","Trofeo dei trionfi","栄冠のトロフィー","승리의 트로피","Trofi Tidak Terkalah","Triomfantelijke trofee","Triumferende trofé","Troféu triunfante","Триумфальный трофей","ถ้วยรางวัลฉลองชัย","Zafer Kupası","Cúp vô địch"
"TID_DECO_CLASHBALL_TROPHYCUP","Celebration Cup","كأس الاحتفال","庆典金杯","慶典金盃","Feierpokal","Copa de celebración","جام جشن","Pallopokaali","Coupe de célébration","Piala Emas","Coppa dei campioni","優勝カップ","셀레브레이션 컵","Piala Perayaan","Vieringsbeker","Feiringscup","Taça da vitória","Призовой кубок","ถ้วยเฉลิมฉลอง","Kutlama Kupası","Cúp kỷ niệm"
"TID_DECO_GAME_CAMPAIGN","Surprising Squad","مفاجأة الفرقة","惊喜小队","驚喜突擊隊","Bunter Squad","Squad sorprendente","جوخه غافلگیری","Yllätysposse","Squad surprise","Kejutan Squad","Squadra sorprendente","ビックリスクワッド","놀라운 스쿼드","Skuad Mengejutkan","Verrassende squad","Overraskende stall","Esquadrão surpresa","Странный отряд","ก๊วนเซอร์ไพรส์","Sürpriz Takım","Biệt đội bất ngờ"
"TID_SCENERY_EGYPT","Egypt Scenery","منظر مصر","埃及古迹","古埃及文明","Ägyptische Szenerie","Paisaje egipcio","منظره مصر","Egyptiläinen maisema","Décor égyptien","Latar Mesir","Villaggio egiziano","エジプトの背景","이집트 배경","Latar Mesir","Egyptische omgeving","Egyptisk landskap","Paisagem egípcia","Египетское оформление","ฉากไอยคุปต์","Mısır Arka Planı","Phong cảnh Ai Cập"
"TID_SCENERY_SPACE","Space Scenery","منظر الفضاء","太空幻境","太空幻境","Weltraumszenerie","Paisaje espacial","منظره فضا","Avaruusmaisema","Décor spatial","Latar Antariksa","Villaggio spaziale","宇宙の背景","우주 배경","Latar Angkasa Lepas","Ruimteomgeving","Romlandskap","Paisagem sideral","Космическое оформление","ฉากอวกาศ","Uzay Arka Planı","Phong cảnh Không gian"
"TID_SPECIAL_FTUE_TUTORIAL_1","Hey Chief! Erling Haaland here! Welcome to the team!","مرحبًا أيها الزعيم! إرلينج هالاند هنا! مرحبًا بك في الفريق!","嗨，首领！我是埃尔林·哈兰德！欢迎加入球队！","嗨，首領！我是厄林·哈蘭德！歡迎加入球隊！","Hey, Häuptling! Erling Haaland hier! Willkommen im Team!","¡Hola, jefe! Soy Erling Haaland. ¡Te doy la bienvenida al equipo!","Hei päällikkö! Erling Haaland tässä. Tervetuloa joukkueeseen!","Hé, chef ! Je suis Erling Haaland. Bienvenue dans l'équipe !","سلام رئیس! ارلینگ هالند اینجاست! به تیم خوش آمدید!","Hai, Chief! Erling Haaland di sini! Selamat datang di tim!","Salve, sono Erling Haaland! Ti do il benvenuto nella squadra!","こんにちは、アーリング・ハーランドです！チーフをチームに歓迎します！","안녕하세요, 대장님! 저는 얼링 할랜드입니다! 팀에 오신 것을 환영해요!","Hei, Ketua! Saya Erling Haaland! Selamat menyertai pasukan kami!","Hei, høvding! Erling Haaland her! Velkommen på laget!","Hey Chief! Erling Haaland hier. Welkom bij het team!","E aí, Chefe? Eu sou Erling Haaland. É um prazer ter você na equipe!","Привет, вождь! Это я, Эрлинг Холанн. Добро пожаловать в команду!","เฮ้ ท่านหัวหน้า! เออร์ลิง ฮาแลนด์รายงานตัว! ขอต้อนรับเข้าสู่ทีม!","Merhaba şef! Ben Erling Haaland. Takıma hoş geldin!","Chào Chỉ huy! Tôi là Erling Haaland đây! Mừng bạn gia nhập đội!"
"TID_SPECIAL_FTUE_TUTORIAL_2","Welcome to your Village! Life would be perfect if it wasn’t for…","أهلاً بك في قريتك! كانت الحياة هنا لتصبح مثالية لولا...","欢迎来到您的村庄！这里本来是世外桃源，可是......","歡迎來到你的村莊！這裡本來是世外桃源，可是......","Willkommen in deinem Dorf! Das Leben wäre wirklich perfekt, wenn es da nicht ...","¡Esta es tu aldea! Aquí la vida sería perfecta si no fuera por...","Tervetuloa kylääsi! Elämä olisi rattoisaa, ellei...","Bienvenue dans votre village ! Tout serait parfait s'il n'y avait pas...","به دهکده خود خوش آمدید! زندگی عالی می‌شد، اگر…","Selamat datang di Desa! Hidup di sini akan sempurna kalau saja tidak ada ...","Ecco il nostro nuovo villaggio. La vita sarebbe perfetta, se non fosse per...","ようこそ村へおいでくださいました！本当は平和な村なんですよ。でもアレのせいで...","대장님의 마을입니다! 딱 하나만 빼면 완벽한데...","Selamat datang ke kampung anda! Kehidupan di sini sempurna sehinggalah…","Velkommen til landsbyen din! Livet ville ha vært helt eventyrlig om det ikke var for ...","Welkom in je dorp! Het leven zou perfect zijn zonder...","Esta vila agora é sua! A vida aqui seria perfeita se não fosse por...","Вот твоя деревня! Жизнь здесь была бы идеальной, если бы не...","ขอต้อนรับสู่หมู่บ้านของท่าน! ชีวิตที่นี่คงสมบูรณ์แบบถ้าไม่มี...","Köye hoş geldin! Burada her şey çok güzel, ama bir sorun var...","Chào mừng đến với Làng! Cuộc sống sẽ thật hoàn hảo nếu không vì…"
"TID_SPECIAL_FTUE_TUTORIAL_3","Oh no, Goblins again... Fast, set up a Cannon to defend your Village!","أوه لا، إنهم الغيلان مجددًا... أسرع، أنصب مدفعًا لحماية قريتك!","不好，哥布林又来了...... 快部署加农炮，保卫您的村庄！","不好，哥布林又來了...... 快部署加農炮，保衛你的村莊！","Oh nein, schon wieder Kobolde … Schnell, baue eine Kanone, um dein Dorf zu verteidigen!","¡Oh, no! Duendes otra vez... ¡Rápido, pongamos un cañón para defender la aldea!","Voi ei, taas hiisiä... Nyt tarvitaan nopeasti tykki kylän puolustukseksi!","Oh, non ! Encore des gobelins... Vite, construisez un canon pour protéger le village !","اوه نه، باز هم گابلین‌ها... به‌سرعت یک توپ را مستقر کنید تا از دهکده خود دفاع کنید!","Oh, tidak! Para Goblin kembali datang! Ayo cepat bangun Meriam untuk melindungi Desa!","Oh no, di nuovo i goblin! Prepara subito un cannone per difendere il tuo villaggio!","わあ！またゴブリンです... 急いで大砲を用意して村を守りましょう！","이런, 또 고블린 무리예요! 어서 대포를 설치해 마을을 방어하세요!","Alamak, Goblin lagi... Cepat, bina Meriam untuk mempertahankan kampung anda!","Å nei, nisser igjen ... Fort, få på plass en kanon for å forsvare landsbyen din!","O nee, alweer kobolden... Snel, plaats een kanon om je dorp te verdedigen!","Ah, não! Goblins de novo... Rápido, arme um canhão para defendermos a vila!","О нет, опять гоблины... Скорее ставь пушку, чтобы защитить деревню!","โอ้ ไม่นะ ก็อบลินมาอีกแล้ว... เร็วเข้า สร้างปืนใหญ่เพื่อปกป้องหมู่บ้านของท่าน!","Goblinler! Çabuk, köyü savunmak için bir top yapalım!","Ôi không, bọn Yêu tinh lại đến rồi... Nhanh lên, xây Đại bác để bảo vệ Làng nào!"
"TID_SPECIAL_REENG_TUTORIAL_1","Coach! Erling Haaland checking in! Great to see you back!","أيها المدرب! هنا إرلينج هالاند! تسعدني رؤيتك مجددًا!","教练！埃尔林·哈兰德前来报到！您能回来真是太好啦！","教練！厄林·哈蘭德前來報到！很高興看到你回來！","Coach! Hier ist Erling Haaland! Schön, dich wiederzusehen!","¡Hola, figura! Soy Erling Haaland de nuevo. ¡Me alegro de verte!","Valmentaja! Erling Haaland ilmoittautuu. Kiva nähdä taas!","Coach ! C'est moi, Erling Haaland. Ravi de vous revoir !","مربی! ارلینگ هالند وارد می‌شود! خوشحالم که می‌بینم برگشتی!","Halo, Pelatih! Erling Haaland di sini! Senang berjumpa denganmu lagi!","Ciao, mister! Sono Erling Haaland! Che bello rivederti!","コーチ！おかえりなさい！アーリング・ハーランドです！","코치님! 저는 얼링 할랜드입니다! 돌아오신 걸 보니 정말 기쁘네요!","Jurulatih! Erling Haaland melaporkan diri! Selamat kembali!","Trener! Erling Haaland her! Godt å se deg igjen!","Coach! Erling Haaland hier! Goed om je terug te zien!","E aí, chefia? Erling Haaland aqui outra vez. Há quanto tempo!","Привет! Это я, Эрлинг Холанн. Рад, что мы с тобой в одной команде!","โค้ช! เออร์ลิง ฮาแลนด์รายงานตัว! ดีใจที่ท่านกลับมา!","Şef! Ben Erling Haaland. Geri dönmene çok sevindim!","Huấn luyện viên ơi! Erling Haaland đã có mặt! Thật tuyệt khi thấy bạn trở lại!"
"TID_SPECIAL_REENG_TUTORIAL_2","Hope you haven't lost your touch while warming the bench.","آمل ألا تكون قد فقدت مهاراتك أثناء جلوسك على مقعد البدلاء.","但愿您不会因为板凳坐久了而状态全无。","希望你不會因為板凳坐久了而身手盡失。","Ich hoffe, du hast während deiner Auszeit nicht das Spielgefühl verloren.","Espero que sigas en plena forma pese a estar calentando el banquillo.","Toivottavasti taitosi eivät ole ruostuneet vaihtopenkillä istuessasi.","J'espère que vous avez gardé la forme malgré le temps passé sur le banc de touche.","امیدارم وقتی نیمکت‌گرم‌کن بودی، کیفیت و مهارتت پایین نیامده باشد.","Semoga kemampuanmu tidak menjadi tumpul selagi menunggu di bangku cadangan.","Spero che tu non abbia perso il tuo smalto mentre eri in panchina.","コーチがベンチを温めている間に、コーチの勘が鈍っていなければいいのですが...","벤치에서 쉬는 동안 감을 잃지 않으셨길 바랍니다.","Harap-harap anda tidak hilang sentuhan semasa menunggu giliran.","Håper du ikke har mistet ballfølelsen etter å ha vært benkevarmer.","Ik hoop dat je je talenten niet kwijt bent geraakt terwijl je op de bank zat.","Espero que não tenha perdido o jeito depois do tempo que você ficou na reserva.","Надеюсь, ты все еще в хорошей форме, несмотря на время, проведенное на скамейке запасных!","หวังว่าฝีมือของท่านยังไม่ตกในช่วงพักรบ","Umarım dinlenirken becerilerini kaybetmemişsindir.","Hy vọng là thời gian ngồi ghế dự bị không khiến bạn lụt nghề."
"TID_SPECIAL_REENG_TUTORIAL_3","How about a friendly match to showcase your skills?","ما رأيك في خوض مباراة ودية لاستعراض مهاراتك؟","来场友谊赛展示一下您的球技如何？","來場友誼賽展示一下你的球技如何？","Wie wäre es mit einem Freundschaftsspiel, um dein Können zu beweisen?","¿Y si echamos una partida amistosa para que demuestres tus habilidades?","Miten olisi ystävyysottelu, jossa pääset näyttämään taitosi?","Que diriez-vous d'un match amical pour démontrer votre talent ?","نظرت درباره یک مسابقه دوستانه برای نمایش مهارت‌هایت چیست؟","Bagaimana kalau kita bermain di pertandingan persahabatan untuk menunjukkan kemampuanmu?","Che ne dici di un'amichevole per mettere in mostra le tue abilità?","練習試合で肩慣らしをしてみてはいかがですか？","실력을 뽐내기 위해 친선 경기를 하는 건 어떨까요?","Apa kata bermain perlawanan persahabatan untuk menunjukkan kemahiran anda?","Hva med en treningskamp, slik at du får vist hva du kan?","Wat dacht je van een vriendschappelijk potje om je kunsten te tonen?","Que tal uma amistosa para aquecer?","Как насчет того, чтобы показать свой талант в дружеском матче?","เล่นแมตช์ฉันมิตรเพื่ออวดฝีมือของท่านสักครั้งไหม?","Bir dostluk maçı yapıp kendini göstermek ister misin?","Bạn muốn chơi thử một trận giao hữu để thể hiện kỹ năng không?"
"TID_SPECIAL_REENG_TUTORIAL_4","Alright, let's see if you can beat your own defense!","حسنًا، لنرَ إن كان بإمكانك هزيمة دفاعك!","那就看看您能否突破自己的防守吧！","那就看看你能否突破自己的防守吧！","Alles klar, mal sehen, ob du deine eigene Verteidigung schlagen kannst!","Vale, veamos si logras derrotar a tu propia defensa.","Katsotaanpa, pärjäätkö omia puolustuksiasi vastaan!","Allez, voyons si vous pouvez battre votre propre défense !","خیلی خب، بیایید ببینیم می‌توانید دفاع خود را شکست دهید!","Baiklah, mari kita lihat apakah kamu bisa mengalahkan pertahananmu sendiri!","Bene, vediamo se sai superare le tue stesse difese!","そうこなくっちゃ！さっそく、ご自身の守備陣形を突破してみましょう！","좋아요. 자신의 수비를 이길 수 있는지 한번 봅시다!","Baiklah, mari lihat sama ada anda boleh mengalahkan pertahanan anda sendiri!","Greit, la oss se om du kan slå ditt eget forsvar!","Oké, eens zien of je je eigen verdediging kan verslaan!","Vamos ver se você dá conta da sua própria defesa!","Посмотрим, сможешь ли ты пробить свою собственную защиту!","เอาล่ะ มาดูกันสิว่าท่านจะเอาชนะการป้องกันของตัวเองได้หรือเปล่า!","Bakalım kendi savunmalarını aşabilecek misin?","Được rồi! Để xem bạn có thể hạ gục dàn phòng thủ của chính mình không nhé!"
"TID_SPECIAL_REENG_TUTORIAL_5","Well played, Coach!","رائع أيها المدرب!","打得不错，教练！","打得不錯，教練！","Gut gespielt, Coach!","¡Bien jugado!","Hyvin pelattu, valmentaja!","Bien joué, coach !","بازی خوبی بود مربی!","Permainan yang bagus, Pelatih!","Ben fatto, mister!","すばらしい活躍です！コーチ！","잘하셨어요, 코치님!","Permainan yang bagus, Jurulatih!","Bra spilt, trener!","Goed gespeeld, coach!","Mandou bem, técnico!","Отличная игра!","เล่นได้ดีนี่ โค้ช!","Çok iyiydin şef!","Chơi hay lắm, Huấn luyện viên!"
"TID_SPECIAL_REENG_TUTORIAL_6","Your fierce speed, strength, and positioning are truly impressive!","تتمتع بسرعة وقوة ووضعية رائعة حقًا!","您出色的速度、力量和跑位确实令人惊叹！","你出色的速度、力量和跑位真是令人印象深刻！","Dein wildes Tempo, deine Stärke und dein Stellungsspiel sind wirklich beeindruckend!","¡Tu velocidad, fuerza y posicionamiento son verdaderamente increíbles!","Räjähtävä nopeutesi, voimasi ja strategiasi tekivät minuun vaikutuksen!","Votre vitesse, puissance et positionnement m'impressionnent !","سرعت، قدرت و جایگیری فوق‌العاده شما واقعاً چشمگیر است!","Kecepatan, kekuatan, dan posisimu yang luar biasa sungguh mengesankan!","Velocità, forza, posizionamento, esecuzione... Tutto davvero notevole!","スピード、フィジカル、ポジショニング。どれを取っても一級品ですね！","속도, 힘, 위치 선정이 아주 탁월하네요. 정말 인상적이에요!","Kelajuan, kekuatan dan penempatan anda yang hebat sangat mengagumkan!","Du er imponerende rask og sterk, og du er god til å plassere deg!","Je felle snelheid, kracht en positionering zijn echt indrukwekkend!","Suas habilidades de posicionamento, força e agilidade são de cair o queixo!","Молниеносная реакция, сила, грамотная расстановка войск... Я впечатлен!","ความรวดเร็ว พละกำลัง และการจัดตำแหน่งของท่านช่างน่าประทับใจเสียจริง!","Hızın, gücün ve taktiksel konumlandırman harikaydı!","Tốc độ, sức mạnh và kỹ năng của bạn đều cực kỳ vượt trội!"
"TID_SPECIAL_REENG_TUTORIAL_7","Given all that's happened in your Village, let's start by taking a good look around, shall we?","بعد كل ما حدث في قريتك، لنبدأ بإلقاء نظرة عليها، ما رأيك؟","您的村庄里发生了很多事，我们先来好好看看四处的情况吧。","你的村莊裡發生了這麼多事，就先好好看看四處的情況吧。","Wenn man bedenkt, was alles in deinem Dorf passiert ist, sollten wir uns mal richtig umschauen.","Han pasado muchas cosas en tu aldea, así que exploremos primero un poco, ¿te parece?","Kylässäsi on tapahtunut paljon kaikenlaista. Tehdään pieni esittelykierros.","Vu tout ce qui s'est passé au village, commençons par faire un tour des lieux, vous voulez bien ?","با توجه به تمام اتفاقاتی که در دهکده‌تان افتاده است، بیایید خوب به اطراف نگاه کنیم و شروع کنیم، شروع کنیم؟","Mengingat semua yang telah terjadi, mari kita melihat-lihat keadaan di sekitar Desamu.","Considerato tutto quello che è successo al villaggio, per prima cosa è meglio dare un'occhiata in giro, non trovi?","コーチがご不在の間に、村にはさまざまな変化がありました。まずは、辺りを見回してみましょう！","마을에 이런저런 일들이 많았으니, 우선 주변을 꼼꼼하게 둘러보는 것이 어떨까요?","Melihat pada semua yang berlaku di kampung anda, mari kita melihat sekeliling kampung anda, okey?","Med tanke på alt som har skjedd i landsbyen din, kan vi jo begynne med å se oss rundt?","Na alles wat er gebeurd is in je dorp, kunnen we maar beter beginnen met goed rondkijken.","Antes de mais nada, que tal dar uma boa olhada na sua vila depois de tudo o que rolou?","В деревне столько всего произошло, пока тебя не было! Предлагаю для начала хорошенько оглядеться вокруг.","เมื่อดูจากสิ่งที่เกิดขึ้นกับหมู่บ้านของท่านแล้ว มาเริ่มต้นด้วยการดูรอบๆ หน่อยจะดีไหม?","Köyünde olanları düşünürsek, her şeyi bir kontrol etmek iyi olabilir. Ne dersin?","Đã có rất nhiều chuyện xảy ra ở Làng, hãy cùng bắt đầu xem xét xung quanh nào!"
"TID_SPECIAL_REENG_TUTORIAL_8","See you later on the pitch!","أراك لاحقًا في الملعب!","球场上见！","球場上見！","Wir sehen uns später auf dem Platz!","¡Nos vemos en el campo!","Nähdään myöhemmin kentällä!","Rendez-vous sur le terrain !","بعداً در زمین بازی می‌بینمت!","Sampai jumpa nanti di lapangan!","Ci vediamo dopo in campo!","それでは、ピッチでお待ちしています！","나중에 경기장에서 뵙겠습니다!","Jumpa anda di padang nanti!","Vi ses senere, på banen!","Tot later op het veld!","A gente se vê no gramado!","До встречи на поле!","แล้วเจอกันในการต่อสู้!","Savaş alanında görüşmek üzere!","Hẹn gặp lại trên sân!"
"TID_STREAK_EVENT_TIME_LEFT","Event ends in: <time>","ينتهي الحدث بعد: <time>","离活动结束还有：<time>","離活動結束還有：<time>","Ereignis endet in: <time>","El evento termina dentro de: <time>","زمان اتمام رویداد: <time>","Tapahtuman päättymiseen: <time>","Fin de l'événement : <time>","Acara berakhir dalam: <time>","Fine evento tra: <time>","イベント終了まで：<time>","이벤트 종료까지: <time>","Acara tamat dalam: <time>","Evenement eindigt over: <time>","Hendelsen avsluttes om: <time>","O evento termina em: <time>","До конца события: <time>","อีเวนท์สิ้นสุดใน: <time>","Etkinliğin bitmesine: <time>","Sự kiện kết thúc sau: <time>"
